temperature,pressure,etch_time,gas_flow,chamber_pressure,wafer_size,process_type,yield,timestamp
200.0,1.5,60.0,100.0,5.0,300,etching,85.5,2024-01-01 10:00:00
205.0,1.6,65.0,105.0,5.2,300,etching,87.2,2024-01-01 11:00:00
195.0,1.4,55.0,95.0,4.8,300,etching,83.8,2024-01-01 12:00:00
210.0,1.7,70.0,110.0,5.5,300,etching,88.9,2024-01-01 13:00:00
190.0,1.3,50.0,90.0,4.5,300,etching,82.1,2024-01-01 14:00:00
198.0,1.5,58.0,98.0,4.9,300,etching,84.6,2024-01-01 15:00:00
202.0,1.55,62.0,102.0,5.1,300,etching,86.3,2024-01-01 16:00:00
207.0,1.65,67.0,107.0,5.3,300,etching,89.1,2024-01-01 17:00:00
193.0,1.45,53.0,93.0,4.7,300,etching,83.2,2024-01-01 18:00:00
204.0,1.6,64.0,104.0,5.2,300,etching,87.8,2024-01-01 19:00:00

